Regenerative Action,🔮 Circles Subdomain,🔮 Circles Domain,🔮 Circles Topic,Mandala Pathway,Liberate Action,Oppress Action,Success Indicators,Circulation Check
Bioregional Mobility Sovereignty Mandates,built-form-and-transport,🌱 Ecology,🚅 Seaports and Airports,Liberation,"<p>Implement “Bioregional Mobility Sovereignty Mandates” where all long-distance transport hubs (e.g., seaports) operate under explicit, revocable community consent—prioritizing sail, rail, and low-impact methods, with mandates revoked if they violate ecological or cultural boundaries.</p>","<p>Impose top-down transport hubs that prioritize speed and volume over ecology, externalizing pollution and noise onto marginalized communities, with no community input or oversight.</p>",<p>• 100% of transport hubs include consent and revocation pathways • High community trust in mobility governance • Reduction in air/water pollution from transport</p>,"<p>Yes — Mandates for long-distance mobility are created and revoked by those who live with them, not by corporate or state logic.</p>"
Carbon Accountability & Sequestration Mandate,water-and-air,🌱 Ecology,🌊 Greenhouse Gases and Carbon,Liberation,"<p>Create a “Carbon Accountability &amp; Sequestration Mandate” that requires all community activities to publicly report emissions and fund regenerative sequestration (e.g., soil building, reforestation), with accountability enforced by community audit.</p>","<p>Hide emissions behind complex offsets, greenwashing, and voluntary targets that lack enforcement or community oversight.</p>",<p>• 100% of community emissions publicly logged • Net-negative carbon footprint achieved • High community trust in climate accountability</p>,<p>Yes — Accountability ensures those who emit also repair. Power to heal the atmosphere is shared.</p>
Commons Archivist Stewardship Council,wealth-and-distribution,📉 Economics,💸 Social Wealth and Heritage,Healing,"<p>Establish a “Commons Archivist Stewardship Council” with rotating membership to protect and enhance the community’s shared cultural and material inheritance—ensuring power over heritage is distributed, not centralized.</p>","<p>Concentrate control of heritage in unaccountable institutions that gatekeep access, monetize culture, and exclude marginalized voices from stewardship.</p>",<p>• 100% of heritage assets publicly accessible • High participation in stewardship roles • Revitalization of endangered cultural practices</p>,"<p>Yes — Power over heritage is shared through rotating, community-led stewardship.</p>"
Commons-Controlled Monetary Sovereignty,accounting-and-regulation,📉 Economics,🏦 Finance and Money,Liberation,"<p>Establish a “Commons-Controlled Monetary Sovereignty” system where the community issues its own complementary currency or manages a public banking system, with monetary policy set by participatory assemblies, not distant central banks or private financiers.</p>","<p>Concentrate control of money creation in private central banks or global financial institutions that prioritize profit and debt over community well-being, with no democratic input on monetary policy.</p>",<p>• 100% of community financial institutions governed by public mandate • High circulation velocity of local currency • Reduction in debt-based economic stress</p>,"<p>Yes — Money is a community commons, not a tool of extraction. Power to “create money” is shared, not hoarded by financial elites.</p>"
Community Food Sovereignty Council,consumption-and-use,📉 Economics,🌽 Food and Drink,Liberation,"<p>Establish a “Community Food Sovereignty Council” with authority to manage local food systems—from seed to table—with power distributed to farmers, foragers, cooks, and eaters.</p>","<p>Concentrate food power in corporate supply chains that control seeds, processing, and distribution, leaving communities dependent and disempowered.</p>","<p>• 90% of residents have access to locally grown, culturally appropriate food • High participation in food decision-making • Reduction in food insecurity</p>","<p>Yes — Power over food is shared among all who grow, prepare, and eat it—not hoarded by agribusiness.</p>"
Community Truth-Telling Ledger,dialogue-and-reconciliation,☀️ Politics,🕊️ Truth and Verity,Healing,"<p>Create a public, consent-based “Community Truth-Telling Ledger” where harms are documented in the words of those harmed, with clear context and impact statements—making truth a collective, healing resource, not a legal weapon.</p>","<p>Control the narrative of harm through official reports, expert testimony, or media spin that silences victims, protects perpetrators, and frames truth as a tool of judgment, not healing.</p>",<p>• 100% of truth entries are voluntary and consent-based  • High community trust in the Ledger as a healing (not punitive) resource  • Reduction in cycles of denial and gaslighting</p>,"<p>Yes — Truth is co-owned and co-curated. Power to define “verity” is shared, not gatekept by institutions.</p>"
Compassion Accountability Commons,values-and-compass,✴️ Spirituality,⛲ Compassion and Empathy,Healing,"<p>Establish a “Compassion Accountability Commons” where all community members share responsibility for cultivating empathy—ensuring power over care is distributed, not concentrated in performative “saviors.”</p>","<p>Concentrate compassion in charity models that create dependency, treat the marginalized as objects of pity, and exclude them from defining their own needs.</p>",<p>• High participation in empathy skill-building • Strong trust in mutual aid networks • Reduction in saviorism and extraction</p>,"<p>Yes — Power over “compassion” is a shared practice, not a tool of control.</p>"
Conflict Resilience Gardens,law-and-justice,☀️ Politics,⚖️ Order and Civility,Healing,"<p>Proactively cultivate “Conflict Resilience Gardens”—trained community members who nurture healthy communication norms, de-escalate tensions early, and build social fabric before conflicts escalate into crises.</p>","<p>Engineer social fragmentation through algorithmic polarization, surveillance, and “divide and conquer” tactics that manufacture distrust and make collective order feel impossible without top-down control.</p>",<p>• Reduction in escalated conflicts requiring formal intervention  • High scores on “Community Trust Index”  • 90% of residents report feeling safe expressing dissent</p>,<p>Yes — Order emerges from relational health and distributed capacity for care not from centralized control or fear.</p>
Consent-Based Adaptation Mandates,water-and-air,🌱 Ecology,🌊 Adaptation and Mitigation Processes,Liberation,"<p>Implement “Consent-Based Adaptation Mandates” where all climate resilience projects require explicit, revocable community consent—and can be revoked if they violate ecological or cultural boundaries.</p>","<p>Impose top-down “resilience” projects (e.g., sea walls, managed retreat) that displace communities, ignore traditional knowledge, and exclude local input.</p>",<p>• 100% of adaptation projects include consent and revocation pathways • High satisfaction with community-led resilience • Reduction in climate gentrification and displacement</p>,"<p>Yes — Mandates for adaptation are created and revoked by those who live with them, not by external authorities.</p>"
Consent-Based Agroecological Mandates,embodiment-and-sustenance,🌱 Ecology,🏋️ Agriculture and Husbandry,Liberation,"<p>Implement “Consent-Based Agroecological Mandates” where all farming and land stewardship requires explicit, revocable community consent—and can be revoked if it violates ecological or cultural boundaries.</p>","<p>Impose industrial agriculture that treats land as a commodity, externalizes harm, and excludes community input under the guise of “feeding the world.”</p>",<p>• 100% of agriculture includes consent and revocation pathways • High satisfaction with food sovereignty • Steady increase in soil health and biodiversity</p>,"<p>Yes — Mandates for agriculture are created and revoked by those who eat and steward, not by corporate or state logic.</p>"
Consent-Based Alignment Mandates,inner-knowing-and-introspection,✴️ Spirituality,🕉️ Authenticity and Alignment,Healing,"<p>Implement “Consent-Based Alignment Mandates” where all community roles require explicit, revocable personal consent—and can be revoked if they no longer align with one’s truth.</p>","<p>Impose roles and expectations that demand conformity to external norms, punishing authenticity as “disruptive” or “unprofessional.”</p>",<p>• 100% of role-holders report alignment with inner truth • High satisfaction with integrity of action • Reduction in burnout and role-based alienation</p>,"<p>Yes — Mandates for “alignment” are created and revoked by those who live them, not by external authority.</p>"
Consent-Based Assurance Protocols,security-and-accord,☀️ Politics,🛡️ Insurance and Assurance,Awakening,"<p>Replace extractive “insurance” with “Consent-Based Assurance Protocols”—community mutual aid systems where support during hardship (e.g., fire, illness) is guaranteed through explicit, revocable community agreements, not profit-driven contracts.</p>","<p>Sell “insurance” as a commodity that excludes the vulnerable through cost and fine print, creating a false sense of security while hoarding risk capital in corporate hands.</p>",<p>• 100% of community members covered by mutual assurance • Near-instant access to support during crises • High confidence in community reliability</p>,<p>Yes — Assurance is a shared covenant of care—not a financialized bet against human need.</p>
Consent-Based Care & Support Mandates,labor-and-welfare,📉 Economics,🗳️ Care and Support,Healing,"<p>Implement “Consent-Based Care &amp; Support Mandates” where all mutual aid and care work is organized through explicit, revocable community agreements that honor the dignity of both giver and receiver.</p>","<p>Frame care as a private burden or a commodity to be bought, excluding it from community responsibility and allowing care workers to be exploited without support.</p>",<p>• 100% of care mandates include consent and revocation pathways • High satisfaction among care givers and receivers • Reduction in care-related burnout and isolation</p>,"<p>Yes — Mandates for care are created and revoked by community consent, not imposed by market or family obligation.</p>"
Consent-Based Circular Mandates,emission-and-waste,🌱 Ecology,🛢️ Recycling and Re-use,Liberation,"<p>Implement “Consent-Based Circular Mandates” where all recycling and reuse systems require explicit, revocable community consent—and can be revoked if they perpetuate extractive material flows.</p>","<p>Enforce “recycling” that greenwashes waste exports, uses downcycling, and excludes community input on true circularity.</p>",<p>• 100% of recycling systems are local and upcycling • High community trust in material sovereignty • Steady decline in hard-to-recycle materials</p>,"<p>Yes — Mandates for circularity are created and revoked by those who live with them, not by corporate logic.</p>"
Consent-Based Communal Mandates,interconnection-and-cosmology,✴️ Spirituality,🛰️ Communalism,Awakening,"<p>Implement “Consent-Based Communal Mandates” where all community visions require explicit, revocable consent from human and more-than-human stakeholders—and can be revoked if they violate the principle of mutual thriving.</p>","<p>Impose top-down “community” visions that prioritize individualism or elite consensus, excluding the web of life from co-creation.</p>",<p>• 100% of mandates include consent from diverse stakeholders • High satisfaction with communal coherence • Reduction in isolation and competition</p>,"<p>Yes — Mandates for “community” are created and revoked by the whole web of life, not by human fiat.</p>"
Consent-Based Cultural Promotion,consumption-and-use,📉 Economics,🌽 Promotion and Dissemination,Healing,"<p>Replace advertising with “Consent-Based Cultural Promotion”—community-curated channels that share skills, recipes, and sustainable practices only with explicit recipient consent.</p>","<p>Flood public and private spaces with manipulative, non-consensual advertising that creates artificial needs, erodes attention, and displaces community knowledge.</p>",<p>• 100% of promotions are opt-in and community-vetted • High engagement with skill-sharing content • Reduction in extractive consumption</p>,"<p>Yes — Mandates for promotion are created and revoked by community consent, not corporate fiat.</p>"
Consent-Based Cyclical Nourishment Mandates,community-and-ceremony,✴️ Spirituality,🎑 Feasting and Fasting,Healing,"<p>Implement “Consent-Based Cyclical Nourishment Mandates” where all communal feasts and fasts require explicit, revocable consent—and can be revoked if they violate dietary, cultural, or ecological boundaries.</p>","<p>Impose mandatory communal meals or fasts that ignore allergies, beliefs, or access, treating nourishment as a tool of conformity rather than care.</p>",<p>• 100% of feasts/fasts include consent pathways • High satisfaction with cultural and bodily autonomy • Reduction in food-based coercion or shame</p>,"<p>Yes — Mandates for “nourishment” are created and revoked by those who eat, not by external authority.</p>"
Consent-Based Data Commons,communication-and-critique,☀️ Politics,📰 Privacy and Respect,Healing,"<p>Create a “Consent-Based Data Commons” where all community data is owned collectively, with individual privacy protected by design, and data use governed by explicit, revocable community consent—not corporate or state extraction.</p>","<p>Treat personal data as a commodity to be harvested, sold, and weaponized without meaningful consent, using surveillance and algorithmic manipulation to shape behavior and erode autonomy.</p>",<p>• 100% of community data governed by clear consent protocols • High trust in data stewardship • Reduction in data-driven harm or manipulation</p>,<p>Yes — Privacy is a collective right not an individual burden. Power over data is shared not extracted.</p>
Consent-Based Debt & Liability Framework,exchange-and-transfer,📉 Economics,💱 Debt and Liability,Healing,"<p>Implement a “Consent-Based Debt &amp; Liability Framework” where all financial obligations are created through explicit, revocable community consent, with clear pathways for renegotiation and relief—transforming debt from a tool of control into a covenant of care.</p>","<p>Enforce debt as a permanent, inescapable burden that criminalizes poverty, extracts wealth from the vulnerable, and creates lifelong cycles of obligation to the powerful.</p>","<p>• 100% of debt agreements include clear, revocable consent clauses• High usage of debt renegotiation pathways• Drastic reduction in debt-related trauma and incarceration</p>","<p>Yes — Liability is a shared, compassionate responsibility. Power to “owe” is held with dignity, not weaponized as control.</p>"
Consent-Based Domestic Species Mandates,flora-and-fauna,🌱 Ecology,🦖 Domestic Animals and Species Relations,Liberation,"<p>Implement “Consent-Based Domestic Species Mandates” where all decisions about domestic animals (e.g., livestock, pets) require explicit, revocable community consent—and can be revoked if they violate ecological or ethical boundaries.</p>","<p>Impose industrial animal systems that treat domestic animals as commodities, with no community input on welfare, ecological impact, or ethical treatment.</p>",<p>• 100% of domestic animal systems include consent and revocation pathways • High satisfaction with ethical treatment • Reduction in industrial animal agriculture</p>,"<p>Yes — Mandates for domestic species are created and revoked by those who live with them, not by corporate or state logic.</p>"
Consent-Based Effluent Mandates,emission-and-waste,🌱 Ecology,🛢️ Drainage and Effluence,Liberation,"<p>Implement “Consent-Based Effluent Mandates” where all water outflow decisions require explicit, revocable community consent—and can be revoked if they violate ecological or cultural boundaries.</p>","<p>Impose top-down drainage systems that channel polluted runoff into marginalized areas, with no community input or oversight.</p>",<p>• 100% of effluent decisions include consent pathways • High community trust in water governance • Zero downstream contamination</p>,"<p>Yes — Mandates for drainage are created and revoked by those who live with them, not by external authorities.</p>"
Consent-Based Emotional Mandates,beliefs-and-ideas,🪢 Culture,🧿 Emotions and Passions,Healing,"<p>Implement “Consent-Based Emotional Mandates” where all public emotional expressions (e.g., grief, joy, anger) are governed by explicit, revocable community consent—ensuring no one is forced to perform or suppress emotion for others’ comfort.</p>","<p>Enforce emotional labor that burdens the marginalized (e.g., “smile more,” “stay calm”) while protecting the powerful from discomfort, treating emotions as private burdens rather than collective resources.</p>",<p>• 100% of emotional mandates include consent and revocation pathways • High emotional safety scores across all groups • Reduction in emotional exploitation</p>,"<p>Yes — Mandates for “how to feel” are created and revoked by those who feel them, not by external authority.</p>"
Consent-Based End-of-Life Mandates,gender-and-generations,🪢 Culture,🦚 Mortality and Care,Healing,"<p>Implement “Consent-Based End-of-Life Mandates” where all end-of-life care decisions are made through explicit, revocable community and personal consent—with mandates co-created and revocable by the individual and their care circle.</p>","<p>Enforce medical and legal systems that override personal autonomy at life’s end, treating death as a clinical event to be managed by professionals, not a sacred transition to be honored by community.</p>",<p>• 100% of end-of-life plans include consent and revocation pathways • High satisfaction with dignity of care • Reduction in trauma and regret</p>,"<p>Yes — Mandates for care at life’s end are created and revoked by those who live and die, not by external authority.</p>"
Consent-Based Health Tech Mandates,technology-and-infrastructure,📉 Economics,🖥️ Medicine and Health Treatment,Healing,"<p>Implement “Consent-Based Health Tech Mandates” where all medical technologies (from apps to devices) require explicit, revocable community consent and are evaluated for their impact on care relationships—not just efficiency or cost.</p>","<p>Deploy surveillance-based health tech that extracts data, erodes trust, and replaces human care with algorithmic management—without meaningful consent or community oversight.</p>",<p>• 100% of health tech mandates include consent and revocation pathways • High trust in health tech governance • Reduction in care alienation and data harm</p>,"<p>Yes — Mandates for health tech are created and revoked by community consent, not corporate fiat.</p>"
Consent-Based Hygiene Mandates,embodiment-and-sustenance,🌱 Ecology,🏋️ Hygiene and Diet,Healing,"<p>Implement “Consent-Based Hygiene Mandates” where all community sanitation and dietary norms are co-created with explicit, revocable consent—ensuring no one is forced to conform to external standards that violate their bodily autonomy.</p>","<p>Enforce rigid hygiene and diet rules that shame, exclude, or pathologize difference (e.g., “clean eating” dogma, sanitation policing) without community input or flexibility.</p>",<p>• 100% of hygiene and diet norms include consent pathways • High satisfaction with cultural and bodily autonomy • Reduction in shame-based compliance</p>,"<p>Yes — Mandates for hygiene are created and revoked by those who live them, not by external authority.</p>"
Consent-Based Land-Use Mandates,habitat-and-settlements,🌱 Ecology,🏘️ Land-use and Building,Liberation,"<p>Implement “Consent-Based Land-Use Mandates” where all zoning and building decisions require explicit, revocable community consent—and can be revoked if they violate ecological or cultural boundaries.</p>","<p>Impose top-down zoning that prioritizes developer profit, displaces residents, and excludes community input under the guise of “efficiency” or “progress.”</p>",<p>• 100% of land-use decisions include consent and revocation pathways • High satisfaction with community-led development • Reduction in green gentrification and displacement</p>,"<p>Yes — Mandates for land-use are created and revoked by those who live with them, not by external authorities.</p>"
Consent-Based Legacy Mandates,meaning-and-narrative,✴️ Spirituality,🌀 Legacy and Impact,Awakening,"<p>Implement “Consent-Based Legacy Mandates” where all long-term community visions (e.g., 50-year plans) require explicit, revocable community consent—and can be updated as collective inspiration evolves.</p>","<p>Impose top-down “legacy” documents that lock in elite priorities for decades, with no process for community input or revocation.</p>",<p>• 100% of vision mandates include consent and revocation pathways • High community ownership of shared futures • Reduction in vision-washing or performative futurism</p>,"<p>Yes — Mandates for “legacy” are created and revoked by those who will live them, not by distant planners.</p>"
Consent-Based Leisure Mandates,creativity-and-recreation,🪢 Culture,🍄 Leisure and Relaxation,Liberation,"<p>Implement “Consent-Based Leisure Mandates” where all public rest spaces, digital detox zones, and relaxation infrastructure require explicit, revocable community consent—and can be revoked if they become exclusionary or commodified.</p>","<p>Treat leisure as a commodity to be sold (e.g., paid “wellness” spaces), while public rest is eroded through surveillance, overstimulation, and lack of accessible quiet zones.</p>","<p>• 100% of leisure spaces are free, accessible, and publicly governed • High community usage of rest and reflection spaces • Reduction in burnout and attentional exhaustion</p>","<p>Yes — Mandates for leisure are created and revoked by those who need rest, not by market logic.</p>"
Consent-Based Mandate Revocation,representation-and-negotiation,☀️ Politics,☝️ Contestation and Standing,Liberation,"<p>Implement a “Consent-Based Mandate Revocation” process where any community member can initiate a review of a mandate, with a clear, low-barrier path to revocation if reasoned objections demonstrate harm or misalignment.</p>","<p>Make mandate revocation nearly impossible through legal complexity, high signature thresholds, or bureaucratic delays, ensuring that once power is granted, it cannot be reclaimed.</p>",<p>• 100% of mandate revocation pathways are publicly accessible and simple • Regular use of revocation process without fear of reprisal • High confidence in the community’s ability to correct course</p>,"<p>Yes — Contestation is a protected right, not a threat. Power to revoke is as easy as power to grant.</p>"
Consent-Based Mandate System,organization-and-governance,☀️ Politics,🦺 Legitimacy and Respect,Liberation,<p>Replace majority-rule voting with a consent-based process where any reasoned objection is integrated before a decision is ratified. Mandates are time-bound and require explicit renewal.</p>,"<p>Use ""democratic"" voting to manufacture consent for pre-determined outcomes, silencing dissent through procedural complexity and majority tyranny.</p>",<p>• 90% of mandates renewed without major conflict • 80% of community members report feeling heard in governance • Reduction in policy reversals due to integrated objections</p>,"<p>Yes — Power is circulated through structured dissent, time-bound authority, and transparent renewal. No permanent delegation of agency.</p>"
Consent-Based Nourishment Mandates,wellbeing-and-health,🪢 Culture,🧘 Cuisine and Emotional Nourishment,Healing,"<p>Implement “Consent-Based Nourishment Mandates” where all community food systems are co-created with explicit, revocable consent—ensuring cuisine serves emotional, cultural, and ecological nourishment, not just caloric need.</p>","<p>Enforce industrial food systems that prioritize profit over nourishment, erasing cultural foodways and treating meals as transactions rather than acts of care.</p>",<p>• 100% of community food programs include consent and revocation pathways • High satisfaction with cultural and emotional nourishment • Reduction in food trauma and disconnection</p>,"<p>Yes — Mandates for “nourishment” are created and revoked by those who eat, not by corporate or state logic.</p>"
Consent-Based Participatory Budgeting Framework,wealth-and-distribution,📉 Economics,💸 Re-distribution and Apportionment,Liberation,"<p>Implement a “Consent-Based Participatory Budgeting Framework” where all major resource allocations require explicit, revocable community consent—and can be revoked if misaligned with collective values.</p>","<p>Impose budgetary decisions through opaque, top-down channels that favor the powerful, with no clear process for community input or revocation of misused mandates.</p>",<p>• 100% of major allocations require public consent • High usage of revocation pathways without fear of reprisal • Equitable distribution of resources across all groups</p>,"<p>Yes — Mandates for re-distribution are created and revoked by community consent, not elite fiat.</p>"
Consent-Based Place Mandates,identity-and-engagement,🪢 Culture,😜 Home and Place,Liberation,"<p>Implement “Consent-Based Place Mandates” where all decisions about public space, housing, and place-making require explicit, revocable community consent—ensuring no one is excluded from shaping the places they call home.</p>","<p>Enforce top-down urban planning that displaces marginalized communities, treats “home” as a commodity, and excludes residents from decisions about their own neighborhoods.</p>",<p>• 100% of place-making decisions include community consent • Zero displacement due to development • High satisfaction with sense of place across all groups</p>,"<p>Yes — Mandates for “home” are created and revoked by those who live there, not by external authorities.</p>"
Consent-Based Reflexivity Mandates,enquiry-and-learning,🪢 Culture,💡 Meditation and Reflexivity,Healing,"<p>Implement “Consent-Based Reflexivity Mandates” where all introspective practices (e.g., meditation, journaling) are offered with explicit, revocable consent—ensuring no one is forced into inner work for others’ agendas.</p>","<p>Enforce mandatory “wellness” or “mindfulness” programs that extract emotional labor, pathologize resistance, and treat inner life as a tool for productivity, not liberation.</p>",<p>• 100% of introspective practices include consent and revocation pathways • High emotional safety scores across all groups • Reduction in spiritual bypassing and coercion</p>,"<p>Yes — Mandates for “inner work” are created and revoked by those who practice them, not by external authority.</p>"
Consent-Based Renewable Mandates,materials-and-energy,🌱 Ecology,🔋 Renewables and Recyclables,Liberation,"<p>Implement “Consent-Based Renewable Mandates” where all new renewable projects require explicit, revocable community consent—and can be revoked if they violate ecological or cultural boundaries.</p>","<p>Impose top-down renewable projects (e.g., industrial solar farms) that displace communities, ignore ecological impact, and exclude local input under the guise of “climate action.”</p>",<p>• 100% of renewable projects include consent and revocation pathways • High satisfaction with energy sovereignty • Reduction in green colonialism and land conflict</p>,"<p>Yes — Mandates for renewables are created and revoked by those who live with them, not by external authorities.</p>"
