Regenerative Action,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,🔮 Circles Subdomain,🔮 Circles Domain,🔮 Circles Topic,Mandala Pathway,Liberate Action,Oppress Action,Success Indicators,Circulation Check
Air Quality Accountability Ledger,air-quality-accountability-ledger,6925b5b049ecd80b47887089,6925fda6a3d0de91e01b14d1,false,false,Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),,water-and-air,🌱 Ecology,🌊 Air Quality and Respiration,Liberation,"<p>Maintain a public “Air Quality Accountability Ledger” that tracks pollution sources in real-time, with clear protocols for community enforcement and redress if authority fails to act.</p>","<p>Grant industrial emitters permanent authority to pollute through permits and loopholes, while obscuring data and excluding communities from oversight.</p>",<p>• Real-time public dashboard of air quality by neighborhood • High trust in enforcement mechanisms • Steady decline in respiratory illness rates</p>,<p>Yes — Authority is transparent and accountable. Power to breathe clean air is a universal right.</p>
Belonging Equity Dashboard,belonging-equity-dashboard,6925b5b049ecd80b47887089,6925fda1a9805e1b7bdc874a,false,false,Tue Nov 25 2025 19:04:01 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:01 GMT+0000 (Coordinated Universal Time),,identity-and-engagement,🪢 Culture,😜 Belonging and Community,Healing,"<p>Launch a “Belonging Equity Dashboard” that tracks who feels seen, heard, and valued in community spaces—and actively removes barriers (e.g., language, timing, cultural norms) to ensure all identities can co-create belonging.</p>","<p>Design community structures that favor dominant identities (e.g., through unspoken norms, inaccessible language), while claiming “open membership,” effectively engineering belonging through exclusion.</p>",<p>• 95%+ sense of belonging across all identity groups • High participation in cross-identity initiatives • Reduction in reported microaggressions and isolation</p>,"<p>Yes — Power to “belong” is guaranteed through design, not granted as a privilege.</p>"
Biodiversity Sovereignty Commons,biodiversity-sovereignty-commons,6925b5b049ecd80b47887089,6925fda686ec3ae0423d247c,false,false,Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),,flora-and-fauna,🌱 Ecology,🦖 Biodiversity and Ecosystem Diversity,Liberation,"<p>Establish a “Biodiversity Sovereignty Commons” where all community members share stewardship of species diversity—ensuring power over biodiversity is distributed, not concentrated in conservation NGOs or state agencies.</p>","<p>Concentrate control of biodiversity in top-down conservation that excludes local knowledge, treats species as data points, and displaces communities in the name of “protection.”</p>",<p>• 100% of local species monitored by community stewards • High participation in species inventory and protection • Steady increase in native biodiversity</p>,"<p>Yes — Power over biodiversity is a shared commons, not a commodity to be managed.</p>"
Bioregional Mobility Sovereignty Mandates,bioregional-mobility-sovereignty-mandates,6925b5b049ecd80b47887089,6925fda7e43bb9f47943ae5d,false,false,Tue Nov 25 2025 19:04:07 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:07 GMT+0000 (Coordinated Universal Time),,built-form-and-transport,🌱 Ecology,🚅 Seaports and Airports,Liberation,"<p>Implement “Bioregional Mobility Sovereignty Mandates” where all long-distance transport hubs (e.g., seaports) operate under explicit, revocable community consent—prioritizing sail, rail, and low-impact methods, with mandates revoked if they violate ecological or cultural boundaries.</p>","<p>Impose top-down transport hubs that prioritize speed and volume over ecology, externalizing pollution and noise onto marginalized communities, with no community input or oversight.</p>",<p>• 100% of transport hubs include consent and revocation pathways • High community trust in mobility governance • Reduction in air/water pollution from transport</p>,"<p>Yes — Mandates for long-distance mobility are created and revoked by those who live with them, not by corporate or state logic.</p>"
Carbon Accountability & Sequestration Mandate,carbon-accountability-sequestration-mandate,6925b5b049ecd80b47887089,6925fda6ef5c5a7c854e6478,false,false,Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),,water-and-air,🌱 Ecology,🌊 Greenhouse Gases and Carbon,Liberation,"<p>Create a “Carbon Accountability &amp; Sequestration Mandate” that requires all community activities to publicly report emissions and fund regenerative sequestration (e.g., soil building, reforestation), with accountability enforced by community audit.</p>","<p>Hide emissions behind complex offsets, greenwashing, and voluntary targets that lack enforcement or community oversight.</p>",<p>• 100% of community emissions publicly logged • Net-negative carbon footprint achieved • High community trust in climate accountability</p>,<p>Yes — Accountability ensures those who emit also repair. Power to heal the atmosphere is shared.</p>
Commons Archivist Stewardship Council,commons-archivist-stewardship-council,6925b5b049ecd80b47887089,6925fda1ab96f0646bf99818,false,false,Tue Nov 25 2025 19:04:01 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:01 GMT+0000 (Coordinated Universal Time),,wealth-and-distribution,📉 Economics,💸 Social Wealth and Heritage,Healing,"<p>Establish a “Commons Archivist Stewardship Council” with rotating membership to protect and enhance the community’s shared cultural and material inheritance—ensuring power over heritage is distributed, not centralized.</p>","<p>Concentrate control of heritage in unaccountable institutions that gatekeep access, monetize culture, and exclude marginalized voices from stewardship.</p>",<p>• 100% of heritage assets publicly accessible • High participation in stewardship roles • Revitalization of endangered cultural practices</p>,"<p>Yes — Power over heritage is shared through rotating, community-led stewardship.</p>"
Commons-Controlled Monetary Sovereignty,commons-controlled-monetary-sovereignty,6925b5b049ecd80b47887089,6925fd9ed5eff953bad66805,false,false,Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),,accounting-and-regulation,📉 Economics,🏦 Finance and Money,Liberation,"<p>Establish a “Commons-Controlled Monetary Sovereignty” system where the community issues its own complementary currency or manages a public banking system, with monetary policy set by participatory assemblies, not distant central banks or private financiers.</p>","<p>Concentrate control of money creation in private central banks or global financial institutions that prioritize profit and debt over community well-being, with no democratic input on monetary policy.</p>",<p>• 100% of community financial institutions governed by public mandate • High circulation velocity of local currency • Reduction in debt-based economic stress</p>,"<p>Yes — Money is a community commons, not a tool of extraction. Power to “create money” is shared, not hoarded by financial elites.</p>"
Community Food Sovereignty Council,community-food-sovereignty-council,6925b5b049ecd80b47887089,6925fd9f1139959a8e7cfc93,false,false,Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),,consumption-and-use,📉 Economics,🌽 Food and Drink,Liberation,"<p>Establish a “Community Food Sovereignty Council” with authority to manage local food systems—from seed to table—with power distributed to farmers, foragers, cooks, and eaters.</p>","<p>Concentrate food power in corporate supply chains that control seeds, processing, and distribution, leaving communities dependent and disempowered.</p>","<p>• 90% of residents have access to locally grown, culturally appropriate food • High participation in food decision-making • Reduction in food insecurity</p>","<p>Yes — Power over food is shared among all who grow, prepare, and eat it—not hoarded by agribusiness.</p>"
Community Truth-Telling Ledger,community-truth-telling-ledger,6925b5b049ecd80b47887089,6925fd9c351432aa6eb7d904,false,false,Tue Nov 25 2025 19:03:56 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:56 GMT+0000 (Coordinated Universal Time),,dialogue-and-reconciliation,☀️ Politics,🕊️ Truth and Verity,Healing,"<p>Create a public, consent-based “Community Truth-Telling Ledger” where harms are documented in the words of those harmed, with clear context and impact statements—making truth a collective, healing resource, not a legal weapon.</p>","<p>Control the narrative of harm through official reports, expert testimony, or media spin that silences victims, protects perpetrators, and frames truth as a tool of judgment, not healing.</p>",<p>• 100% of truth entries are voluntary and consent-based  • High community trust in the Ledger as a healing (not punitive) resource  • Reduction in cycles of denial and gaslighting</p>,"<p>Yes — Truth is co-owned and co-curated. Power to define “verity” is shared, not gatekept by institutions.</p>"
Compassion Accountability Commons,compassion-accountability-commons,6925b5b049ecd80b47887089,6925fdaaa22b961e8b142ba6,false,false,Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),,values-and-compass,✴️ Spirituality,⛲ Compassion and Empathy,Healing,"<p>Establish a “Compassion Accountability Commons” where all community members share responsibility for cultivating empathy—ensuring power over care is distributed, not concentrated in performative “saviors.”</p>","<p>Concentrate compassion in charity models that create dependency, treat the marginalized as objects of pity, and exclude them from defining their own needs.</p>",<p>• High participation in empathy skill-building • Strong trust in mutual aid networks • Reduction in saviorism and extraction</p>,"<p>Yes — Power over “compassion” is a shared practice, not a tool of control.</p>"
Conflict Resilience Gardens,conflict-resilience-gardens,6925b5b049ecd80b47887089,6925fd9a85f8f31d165a6ab6,false,false,Tue Nov 25 2025 19:03:54 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:54 GMT+0000 (Coordinated Universal Time),,law-and-justice,☀️ Politics,⚖️ Order and Civility,Healing,"<p>Proactively cultivate “Conflict Resilience Gardens”—trained community members who nurture healthy communication norms, de-escalate tensions early, and build social fabric before conflicts escalate into crises.</p>","<p>Engineer social fragmentation through algorithmic polarization, surveillance, and “divide and conquer” tactics that manufacture distrust and make collective order feel impossible without top-down control.</p>",<p>• Reduction in escalated conflicts requiring formal intervention  • High scores on “Community Trust Index”  • 90% of residents report feeling safe expressing dissent</p>,<p>Yes — Order emerges from relational health and distributed capacity for care not from centralized control or fear.</p>
Consent-Based Adaptation Mandates,consent-based-adaptation-mandates,6925b5b049ecd80b47887089,6925fda6ae343c61f7df138a,false,false,Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),,water-and-air,🌱 Ecology,🌊 Adaptation and Mitigation Processes,Liberation,"<p>Implement “Consent-Based Adaptation Mandates” where all climate resilience projects require explicit, revocable community consent—and can be revoked if they violate ecological or cultural boundaries.</p>","<p>Impose top-down “resilience” projects (e.g., sea walls, managed retreat) that displace communities, ignore traditional knowledge, and exclude local input.</p>",<p>• 100% of adaptation projects include consent and revocation pathways • High satisfaction with community-led resilience • Reduction in climate gentrification and displacement</p>,"<p>Yes — Mandates for adaptation are created and revoked by those who live with them, not by external authorities.</p>"
Consent-Based Agroecological Mandates,consent-based-agroecological-mandates,6925b5b049ecd80b47887089,6925fda8d163b94402597224,false,false,Tue Nov 25 2025 19:04:08 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:08 GMT+0000 (Coordinated Universal Time),,embodiment-and-sustenance,🌱 Ecology,🏋️ Agriculture and Husbandry,Liberation,"<p>Implement “Consent-Based Agroecological Mandates” where all farming and land stewardship requires explicit, revocable community consent—and can be revoked if it violates ecological or cultural boundaries.</p>","<p>Impose industrial agriculture that treats land as a commodity, externalizes harm, and excludes community input under the guise of “feeding the world.”</p>",<p>• 100% of agriculture includes consent and revocation pathways • High satisfaction with food sovereignty • Steady increase in soil health and biodiversity</p>,"<p>Yes — Mandates for agriculture are created and revoked by those who eat and steward, not by corporate or state logic.</p>"
Consent-Based Alignment Mandates,consent-based-alignment-mandates,6925b5b049ecd80b47887089,6925fda9d3fa1dca0a6a6eed,false,false,Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),,inner-knowing-and-introspection,✴️ Spirituality,🕉️ Authenticity and Alignment,Healing,"<p>Implement “Consent-Based Alignment Mandates” where all community roles require explicit, revocable personal consent—and can be revoked if they no longer align with one’s truth.</p>","<p>Impose roles and expectations that demand conformity to external norms, punishing authenticity as “disruptive” or “unprofessional.”</p>",<p>• 100% of role-holders report alignment with inner truth • High satisfaction with integrity of action • Reduction in burnout and role-based alienation</p>,"<p>Yes — Mandates for “alignment” are created and revoked by those who live them, not by external authority.</p>"
Consent-Based Assurance Protocols,consent-based-assurance-protocols,6925b5b049ecd80b47887089,6925fd9c85f8f31d165a6bbb,false,false,Tue Nov 25 2025 19:03:56 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:56 GMT+0000 (Coordinated Universal Time),,security-and-accord,☀️ Politics,🛡️ Insurance and Assurance,Awakening,"<p>Replace extractive “insurance” with “Consent-Based Assurance Protocols”—community mutual aid systems where support during hardship (e.g., fire, illness) is guaranteed through explicit, revocable community agreements, not profit-driven contracts.</p>","<p>Sell “insurance” as a commodity that excludes the vulnerable through cost and fine print, creating a false sense of security while hoarding risk capital in corporate hands.</p>",<p>• 100% of community members covered by mutual assurance • Near-instant access to support during crises • High confidence in community reliability</p>,<p>Yes — Assurance is a shared covenant of care—not a financialized bet against human need.</p>
Consent-Based Care & Support Mandates,consent-based-care-support-mandates,6925b5b049ecd80b47887089,6925fda00bdf3fcd7cb78bef,false,false,Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),,labor-and-welfare,📉 Economics,🗳️ Care and Support,Healing,"<p>Implement “Consent-Based Care &amp; Support Mandates” where all mutual aid and care work is organized through explicit, revocable community agreements that honor the dignity of both giver and receiver.</p>","<p>Frame care as a private burden or a commodity to be bought, excluding it from community responsibility and allowing care workers to be exploited without support.</p>",<p>• 100% of care mandates include consent and revocation pathways • High satisfaction among care givers and receivers • Reduction in care-related burnout and isolation</p>,"<p>Yes — Mandates for care are created and revoked by community consent, not imposed by market or family obligation.</p>"
Consent-Based Circular Mandates,consent-based-circular-mandates,6925b5b049ecd80b47887089,6925fda81329ed7c9c56616d,false,false,Tue Nov 25 2025 19:04:08 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:08 GMT+0000 (Coordinated Universal Time),,emission-and-waste,🌱 Ecology,🛢️ Recycling and Re-use,Liberation,"<p>Implement “Consent-Based Circular Mandates” where all recycling and reuse systems require explicit, revocable community consent—and can be revoked if they perpetuate extractive material flows.</p>","<p>Enforce “recycling” that greenwashes waste exports, uses downcycling, and excludes community input on true circularity.</p>",<p>• 100% of recycling systems are local and upcycling • High community trust in material sovereignty • Steady decline in hard-to-recycle materials</p>,"<p>Yes — Mandates for circularity are created and revoked by those who live with them, not by corporate logic.</p>"
Consent-Based Communal Mandates,consent-based-communal-mandates,6925b5b049ecd80b47887089,6925fda9b2bbb54eb5b1047f,false,false,Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:09 GMT+0000 (Coordinated Universal Time),,interconnection-and-cosmology,✴️ Spirituality,🛰️ Communalism,Awakening,"<p>Implement “Consent-Based Communal Mandates” where all community visions require explicit, revocable consent from human and more-than-human stakeholders—and can be revoked if they violate the principle of mutual thriving.</p>","<p>Impose top-down “community” visions that prioritize individualism or elite consensus, excluding the web of life from co-creation.</p>",<p>• 100% of mandates include consent from diverse stakeholders • High satisfaction with communal coherence • Reduction in isolation and competition</p>,"<p>Yes — Mandates for “community” are created and revoked by the whole web of life, not by human fiat.</p>"
Consent-Based Cultural Promotion,consent-based-cultural-promotion,6925b5b049ecd80b47887089,6925fd9f76fdd1820fa150e9,false,false,Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:59 GMT+0000 (Coordinated Universal Time),,consumption-and-use,📉 Economics,🌽 Promotion and Dissemination,Healing,"<p>Replace advertising with “Consent-Based Cultural Promotion”—community-curated channels that share skills, recipes, and sustainable practices only with explicit recipient consent.</p>","<p>Flood public and private spaces with manipulative, non-consensual advertising that creates artificial needs, erodes attention, and displaces community knowledge.</p>",<p>• 100% of promotions are opt-in and community-vetted • High engagement with skill-sharing content • Reduction in extractive consumption</p>,"<p>Yes — Mandates for promotion are created and revoked by community consent, not corporate fiat.</p>"
Consent-Based Cyclical Nourishment Mandates,consent-based-cyclical-nourishment-mandates,6925b5b049ecd80b47887089,6925fdaa16effcb36eff9956,false,false,Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:10 GMT+0000 (Coordinated Universal Time),,community-and-ceremony,✴️ Spirituality,🎑 Feasting and Fasting,Healing,"<p>Implement “Consent-Based Cyclical Nourishment Mandates” where all communal feasts and fasts require explicit, revocable consent—and can be revoked if they violate dietary, cultural, or ecological boundaries.</p>","<p>Impose mandatory communal meals or fasts that ignore allergies, beliefs, or access, treating nourishment as a tool of conformity rather than care.</p>",<p>• 100% of feasts/fasts include consent pathways • High satisfaction with cultural and bodily autonomy • Reduction in food-based coercion or shame</p>,"<p>Yes — Mandates for “nourishment” are created and revoked by those who eat, not by external authority.</p>"
Consent-Based Data Commons,consent-based-data-commons,6925b5b049ecd80b47887089,6925fd9bef5c5a7c854e61d6,false,false,Tue Nov 25 2025 19:03:55 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:55 GMT+0000 (Coordinated Universal Time),,communication-and-critique,☀️ Politics,📰 Privacy and Respect,Healing,"<p>Create a “Consent-Based Data Commons” where all community data is owned collectively, with individual privacy protected by design, and data use governed by explicit, revocable community consent—not corporate or state extraction.</p>","<p>Treat personal data as a commodity to be harvested, sold, and weaponized without meaningful consent, using surveillance and algorithmic manipulation to shape behavior and erode autonomy.</p>",<p>• 100% of community data governed by clear consent protocols • High trust in data stewardship • Reduction in data-driven harm or manipulation</p>,<p>Yes — Privacy is a collective right not an individual burden. Power over data is shared not extracted.</p>
Consent-Based Debt & Liability Framework,consent-based-debt-liability-framework,6925b5b049ecd80b47887089,6925fd9ebef8281132bd912f,false,false,Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:03:58 GMT+0000 (Coordinated Universal Time),,exchange-and-transfer,📉 Economics,💱 Debt and Liability,Healing,"<p>Implement a “Consent-Based Debt &amp; Liability Framework” where all financial obligations are created through explicit, revocable community consent, with clear pathways for renegotiation and relief—transforming debt from a tool of control into a covenant of care.</p>","<p>Enforce debt as a permanent, inescapable burden that criminalizes poverty, extracts wealth from the vulnerable, and creates lifelong cycles of obligation to the powerful.</p>","<p>• 100% of debt agreements include clear, revocable consent clauses• High usage of debt renegotiation pathways• Drastic reduction in debt-related trauma and incarceration</p>","<p>Yes — Liability is a shared, compassionate responsibility. Power to “owe” is held with dignity, not weaponized as control.</p>"
Consent-Based Domestic Species Mandates,consent-based-domestic-species-mandates,6925b5b049ecd80b47887089,6925fda6d5d6059bea016edc,false,false,Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:06 GMT+0000 (Coordinated Universal Time),,flora-and-fauna,🌱 Ecology,🦖 Domestic Animals and Species Relations,Liberation,"<p>Implement “Consent-Based Domestic Species Mandates” where all decisions about domestic animals (e.g., livestock, pets) require explicit, revocable community consent—and can be revoked if they violate ecological or ethical boundaries.</p>","<p>Impose industrial animal systems that treat domestic animals as commodities, with no community input on welfare, ecological impact, or ethical treatment.</p>",<p>• 100% of domestic animal systems include consent and revocation pathways • High satisfaction with ethical treatment • Reduction in industrial animal agriculture</p>,"<p>Yes — Mandates for domestic species are created and revoked by those who live with them, not by corporate or state logic.</p>"
Consent-Based Effluent Mandates,consent-based-effluent-mandates,6925b5b049ecd80b47887089,6925fda82884e99a22173351,false,false,Tue Nov 25 2025 19:04:08 GMT+0000 (Coordinated Universal Time),Tue Nov 25 2025 19:04:08 GMT+0000 (Coordinated Universal Time),,emission-and-waste,🌱 Ecology,🛢️ Drainage and Effluence,Liberation,"<p>Implement “Consent-Based Effluent Mandates” where all water outflow decisions require explicit, revocable community consent—and can be revoked if they violate ecological or cultural boundaries.</p>","<p>Impose top-down drainage systems that channel polluted runoff into marginalized areas, with no community input or oversight.</p>",<p>• 100% of effluent decisions include consent pathways • High community trust in water governance • Zero downstream contamination</p>,"<p>Yes — Mandates for drainage are created and revoked by those who live with them, not by external authorities.</p>"
